MUNICIPALITY,SCHOOL ID,SCHOOL NAME,PROGRAM OFFERINGS,STEM,ABM,HUMSS,GAS,TVL,Arts and Design,Sports,OFFERINGS COUNT,MUNICIPALITY COUNT
Marikina City,401327,AMA Computer Learning Center of Cainta,STEM|ABM|GAS|TVL,True,True,False,True,True,False,False,4,
Marikina City,401328,"St. Chamuel Institute of Technology (Marikina City, Inc.)",TVL,False,False,False,False,True,False,False,1,
Marikina City,401329,STI College - Marikina,ABM|HUMSS|GAS|TVL,False,True,True,True,True,False,False,4,
Marikina City,405685,Berean Crosspointe International Marikina,GAS|ABM,False,True,False,True,False,False,False,2,
Marikina City,405687,"IETI College of Science and Technology, Inc.-Marikina",TVL,False,False,False,False,True,False,False,1,
Marikina City,406069,Pamantasan ng Lungsod ng Marikina,ABM|STEM|HUMSS,True,True,True,False,False,False,False,3,
Marikina City,406766,Jesus' Flock Academy,STEM|ABM|HUMSS|GAS,True,True,True,True,False,False,False,4,
Marikina City,406768,Marikina Catholic School,ABM|STEM|HUMSS,True,True,True,False,False,False,False,3,
Marikina City,406773,Nuestra Señora De Guia Academy of Marikina,STEM|ABM|HUMSS|TVL,True,True,True,False,True,False,False,4,
Marikina City,406779,Roosevelt College Marikina,ABM|STEM|GAS|HUMSS|TVL,True,True,True,True,True,False,False,5,
Marikina City,406783,Celestial Village Academy,GAS|ABM|TVL,False,True,False,True,True,False,False,3,
Marikina City,406784,Charis School,GAS|Arts and Design,False,False,False,True,False,True,False,2,
Marikina City,406787,Infant Jesus Academy- Marikina City,STEM|ABM|HUMSS|GAS,True,True,True,True,False,False,False,4,
Marikina City,406788,Ingenium School,STEM|HUMSS|ABM,True,True,True,False,False,False,False,3,
Marikina City,406789,"Jehoshua Christian School, Inc.",ABM|GAS,False,True,False,True,False,False,False,2,
Marikina City,406790,The Academy of God's Children,STEM|GAS,True,False,False,True,False,False,False,2,
Marikina City,406797,Marikina Christian Integrated School,GAS,False,False,False,True,False,False,False,1,
Marikina City,406798,Marist School,ABM|STEM|HUMSS|GAS|Arts and Design|Sports|TVL,True,True,True,True,True,True,True,7,
Marikina City,406805,Mother of Divine Providence School,STEM|GAS,True,False,False,True,False,False,False,2,
Marikina City,406806,"MSH Sisters Academy of Marikina, Inc.",HUMSS|TVL,False,False,True,False,True,False,False,2,
Marikina City,406807,National Christian Life College,STEM|HUMSS|ABM|GAS|TVL,True,True,True,True,True,False,False,5,
Marikina City,406808,Our Lady of Perpetual Succor College,STEM|ABM|HUMSS|GAS|TVL,True,True,True,True,True,False,False,5,
Marikina City,406811,Redeemed in Christ School,ABM|HUMSS|GAS|STEM,True,True,True,True,False,False,False,4,
Marikina City,406814,St. Nicholas School of Marikina,ABM|HUMSS|GAS,False,True,True,True,False,False,False,3,
Marikina City,407270,"College of Arts and Sciences of Asia & the Pacific - Marikina City, Inc.",ABM|HUMSS|GAS|TVL,False,True,True,True,True,False,False,4,
Marikina City,407373,APEC Schools Concepcion Dos,ABM,False,True,False,False,False,False,False,1,
Marikina City,407394,St. Camillus College Seminary,HUMSS,False,False,True,False,False,False,False,1,
Marikina City,407455,Montessori Professional College- Marikina,GAS|TVL,False,False,False,True,True,False,False,2,
Marikina City,407467,St. Scholastica's Academy,STEM|ABM|HUMSS|GAS|Arts and Design,True,True,True,True,False,True,False,5,
Marikina City,484513,Gentle Angels School,GAS|TVL,False,False,False,True,True,False,False,2,
Marikina City,484519,San Lorenzo Ruiz de Manila School of Marikina City,ABM|TVL,False,True,False,False,True,False,False,2,
Marikina City,484530,Irvinghall School,GAS|ABM|HUMSS|TVL,False,True,True,True,True,False,False,4,
Marikina City,484569,APEC Schools Concepcion Uno,ABM,False,True,False,False,False,False,False,1,
Marikina City,484570,"AFFORDABLE PRIVATE EDUCATION CENTER, INC. APEC SCHOOLS - CALUMPANG",ABM,False,True,False,False,False,False,False,1,
Marikina City,600204,Marikina Polytechnic College,STEM|TVL,True,False,False,False,True,False,False,2,
Muntinlupa City,401332,"Informatics College Northgate, Inc.",ABM|GAS|HUMSS|TVL,False,True,True,True,True,False,False,4,
Muntinlupa City,401337,Informatics Computer Institute-Filinvest,ABM|TVL,False,True,False,False,True,False,False,2,
Muntinlupa City,401340,"Marianum College, Inc.",ABM|HUMSS|GAS,False,True,True,True,False,False,False,3,
Muntinlupa City,401349,"St. Chamuel Institute of Technology (Muntinlupa City, Inc.)",TVL,False,False,False,False,True,False,False,1,
Muntinlupa City,401360,STI College - Alabang,ABM|HUMSS|GAS|TVL,False,True,True,True,True,False,False,4,
Muntinlupa City,401369,Christ the King College of Science and Technology,ABM|HUMSS|GAS|Sports|TVL,False,True,True,True,True,False,True,5,
Muntinlupa City,401372,"Facilities Management College, Inc.",ABM|GAS|TVL,False,True,False,True,True,False,False,3,
Muntinlupa City,401377,"Westbay College, Inc.",STEM|ABM|HUMSS|GAS|TVL,True,True,True,True,True,False,False,5,
Muntinlupa City,405688,APEC Schools-Muntinlupa,GAS|ABM,False,True,False,True,False,False,False,2,
Muntinlupa City,405691,"International Electronics and Technical Institute College, Inc.- Alabang",ABM|TVL,False,True,False,False,True,False,False,2,
Muntinlupa City,406277,"Datamex Institute of Computer Technology-Poblacion, Muntinlupa",TVL,False,False,False,False,True,False,False,1,
Muntinlupa City,406414,"AMA Computer Learning Center of Muntinlupa, Inc.",GAS|ABM|TVL,False,True,False,True,True,False,False,3,
Muntinlupa City,407311,Colegio Dela Nuestra Señora  De Guadalupe,HUMSS|STEM|GAS|ABM|TVL,True,True,True,True,True,False,False,5,
Muntinlupa City,407321,Living Light Academy,ABM|GAS,False,True,False,True,False,False,False,2,
Muntinlupa City,407324,"Mary, Cause of Our Joy Catholic School",GAS|Arts and Design,False,False,False,True,False,True,False,2,
Muntinlupa City,407328,Muntinlupa Cosmopolitan School,GAS|ABM,False,True,False,True,False,False,False,2,
Muntinlupa City,407335,South Crest School,ABM|GAS,False,True,False,True,False,False,False,2,
Muntinlupa City,407336,Southernside Montessori School,GAS|STEM|ABM|Arts and Design,True,True,False,True,False,True,False,4,
Muntinlupa City,407349,"De La Salle Santiago Zobel School, Inc.",STEM|ABM|HUMSS|GAS|Arts and Design,True,True,True,True,False,True,False,5,
Muntinlupa City,407350,Br. Rafael Donato FSC Night High School,GAS|TVL,False,False,False,True,True,False,False,2,
Muntinlupa City,407355,Maria Montessori Foundation,ABM|GAS|HUMSS,False,True,True,True,False,False,False,3,
Muntinlupa City,407357,"Our Lady of the Lake School, Inc.",TVL,False,False,False,False,True,False,False,1,
Muntinlupa City,407359,"PAREF Southridge School, Inc.",STEM|ABM|HUMSS|GAS,True,True,True,True,False,False,False,4,
Muntinlupa City,407360,PAREF Woodrose School Inc.,GAS,False,False,False,True,False,False,False,1,
Muntinlupa City,407362,San Roque Catholic School,STEM|GAS|TVL,True,False,False,True,True,False,False,3,
Muntinlupa City,407364,San Beda College Alabang,GAS|ABM|HUMSS|STEM|Sports|TVL,True,True,True,True,True,False,True,6,
Muntinlupa City,407365,Saint Bernadette College of Alabang,ABM|HUMSS|GAS|Arts and Design|TVL,False,True,True,True,True,True,False,5,
Muntinlupa City,407366,Saint Francis of Assisi College - Alabang,STEM|GAS|ABM,True,True,False,True,False,False,False,3,
Muntinlupa City,407374,"EJIST-VALENZUELA, Inc.",TVL,False,False,False,False,True,False,False,1,
Muntinlupa City,486545,"Lakewood School of Alabang, Inc.",STEM|ABM|GAS|TVL,True,True,False,True,True,False,False,4,
Muntinlupa City,488526,"Kennedy International School of Business and Languages, Inc.",ABM|HUMSS|GAS,False,True,True,True,False,False,False,3,
Muntinlupa City,488528,South Mansfield College,GAS|STEM|ABM|HUMSS|TVL,True,True,True,True,True,False,False,5,
Muntinlupa City,488543,"MCAcademy, Inc.",ABM,False,True,False,False,False,False,False,1,
Muntinlupa City,488551,Lyceum of Alabang,HUMSS|STEM|GAS|ABM|Sports|TVL,True,True,True,True,True,False,True,6,
Navotas City,405692,Philippine Welding Technology Skills and Services Center Inc.,TVL,False,False,False,False,True,False,False,1,
Navotas City,407233,San Jose Academy,GAS|ABM|STEM,True,True,False,True,False,False,False,3,
Navotas City,407237,Governor Andres Pascual College,GAS|ABM|HUMSS,False,True,True,True,False,False,False,3,
Navotas City,407239,La Naval Academy,ABM|GAS,False,True,False,True,False,False,False,2,
Manila City,406357,Paco Catholic School,STEM|HUMSS|ABM|GAS,True,True,True,True,False,False,False,4,
Manila City,406358,Paco Citizen Academy Foundation,GAS|ABM,False,True,False,True,False,False,False,2,
Manila City,406375,St. Peter the Apostle School,ABM|STEM|HUMSS,True,True,True,False,False,False,False,3,
Manila City,406377,Concordia College,STEM|HUMSS|ABM|GAS|Arts and Design|TVL,True,True,True,True,True,True,False,6,
Manila City,406506,AMA Computer Learning Center - Paco,ABM|GAS|HUMSS|TVL,False,True,True,True,True,False,False,4,
Manila City,406376,St. Joseph School of Pandacan,GAS|TVL,False,False,False,True,True,False,False,2,
Manila City,482020,ERDA Technical and Vocational Secondary School,TVL,False,False,False,False,True,False,False,1,
Manila City,482073,Malayan High School of Science,GAS |STEM |ABM |HUMSS,True,True,True,True,False,False,False,4,
Parañaque City,401383,AMA Computer College-Parañaque City,GAS|HUMSS|ABM|STEM|TVL,True,True,True,True,True,False,False,5,
Parañaque City,401387,Asian Institute of Computer Studies - Bicutan,ABM|GAS|TVL,False,True,False,True,True,False,False,3,
Parañaque City,401390,Immaculate Heart of Mary College - Parañaque,STEM|ABM|HUMSS|TVL,True,True,True,False,True,False,False,4,
Parañaque City,401393,PATTS College of Aeronautics,STEM|ABM,True,True,False,False,False,False,False,2,
Parañaque City,401397,Rogationist Seminary College - Manila,GAS,False,False,False,True,False,False,False,1,
Parañaque City,401402,STI College - Parañaque,GAS|HUMSS|ABM|TVL,False,True,True,True,True,False,False,4,
Parañaque City,401405,"Universal Colleges of Parañaque, Inc.",ABM|HUMSS|STEM|GAS|TVL,True,True,True,True,True,False,False,5,
Parañaque City,405697,Datamex Institute of Computer Technology-Parañaque City,TVL,False,False,False,False,True,False,False,1,
Parañaque City,405698,"Go Tec International Business School, Inc.",ABM|TVL,False,True,False,False,True,False,False,2,
Parañaque City,405700,Premiere Computer Learning Center Inc.,ABM|TVL,False,True,False,False,True,False,False,2,
Parañaque City,405863,College of Divine Wisdom,HUMSS|GAS,False,False,True,True,False,False,False,2,
Parañaque City,406283,Sapphire International Aviation Academy,TVL,False,False,False,False,True,False,False,1,
Parañaque City,406872,Infotech College Institute of Arts and Sciences-Parañaque,TVL,False,False,False,False,True,False,False,1,
Parañaque City,406875,"Young Masters Academy, Inc.",ABM|GAS,False,True,False,True,False,False,False,2,
Parañaque City,406972,Ann Arbor Montessori Learning Center,ABM|STEM|HUMSS|TVL,True,True,True,False,True,False,False,4,
Parañaque City,406973,Arandia College,ABM|STEM|Arts and Design|TVL,True,True,False,False,True,True,False,4,
Parañaque City,406975,Blessed Luisa School,HUMSS|GAS,False,False,True,True,False,False,False,2,
Parañaque City,406983,Marymount School,ABM|HUMSS|TVL,False,True,True,False,True,False,False,3,
Parañaque City,406993,Golden Achievers Academy of Parañaque,STEM|ABM|GAS,True,True,False,True,False,False,False,3,
Parañaque City,406998,Shekinah Christian Training Center,GAS|STEM|TVL,True,False,False,True,True,False,False,3,
Parañaque City,407010,Escuela de San Lorenzo Ruiz,ABM,False,True,False,False,False,False,False,1,
Parañaque City,407019,International Christian Academy,GAS|Arts and Design,False,False,False,True,False,True,False,2,
Parañaque City,407023,"Kid's Choice Academy, Inc.",GAS|ABM|TVL,False,True,False,True,True,False,False,3,
Parañaque City,407030,LH Montessori High Inc.,HUMSS|GAS,False,False,True,True,False,False,False,2,
