MUNICIPALITY,SCHOOL ID,SCHOOL NAME,PROGRAM OFFERINGS,STEM,ABM,HUMSS,GAS,TVL,Arts and Design,Sports,OFFERINGS COUNT,MUNICIPALITY COUNT
Pateros,407303,Saint Genevieve School of Pateros,GAS,False,False,False,True,False,False,False,1,
Pateros,488141,APEC Schools-Pateros,ABM,False,True,False,False,False,False,False,1,
Quezon City,401443,ABE International Business College-Commonwealth,ABM|STEM|TVL,True,True,False,False,True,False,False,3,
Quezon City,401445,ABE International College of Business and Accountancy-Cubao,ABM|GAS|HUMSS|STEM|TVL,True,True,True,True,True,False,False,5,
Quezon City,401447,AMA Computer College-Farview,ABM|GAS|HUMSS|TVL,False,True,True,True,True,False,False,4,
Quezon City,401448,AMA Computer University,ABM|STEM|GAS|HUMSS|TVL,True,True,True,True,True,False,False,5,
Quezon City,401450,"Asian College of Science and Technology Foundation, Inc.-Quezon City",ABM|GAS|TVL,False,True,False,True,True,False,False,3,
Quezon City,401451,Asian Institute of Computer Studies - Commonwealth,ABM|STEM|GAS|TVL,True,True,False,True,True,False,False,4,
Quezon City,401453,Bestlink College of the Philippines,GAS |ABM |HUMSS |STEM|Arts and Design|TVL,True,True,True,True,True,True,False,6,
Quezon City,401455,CIIT College of Arts and Technology,TVL,False,False,False,False,True,False,False,1,
Quezon City,401457,Colegio de Sta. Teresa de Avila Foundation Inc.,HUMSS|GAS|ABM|TVL,False,True,True,True,True,False,False,4,
Quezon City,401458,"Datamex Institute of Computer Technology-Fairview, Quezon City",ABM|STEM|GAS|HUMSS|Arts and Design|Sports|TVL,True,True,True,True,True,True,True,7,
Quezon City,401459,Diliman College,ABM|TVL,False,True,False,False,True,False,False,2,
Quezon City,401468,Electron College of Technical Education,GAS|ABM|TVL,False,True,False,True,True,False,False,3,
Quezon City,401471,Far Eastern University-Nicanor Reyes Medical Foundation,STEM,True,False,False,False,False,False,False,1,
Quezon City,401473,Gates Professional Schools,ABM,False,True,False,False,False,False,False,1,
Quezon City,401474,"Gardner College Diliman, Inc. (Formerly: Informatics College Quezon City, Inc.)",ABM|STEM|TVL,True,True,False,False,True,False,False,3,
Quezon City,401478,Informatics - Quezon City,GAS|ABM|HUMSS|TVL,False,True,True,True,True,False,False,4,
Quezon City,401485,Informatics College-Fairview,HUMSS|TVL,False,False,True,False,True,False,False,2,
Quezon City,401486,"Integrated Innovation and Hospitality Colleges, Inc.",ABM|TVL,False,True,False,False,True,False,False,2,
Quezon City,401488,International School for Culinary Arts and Hotel Management-Quezon City,TVL,False,False,False,False,True,False,False,1,
Quezon City,401490,Microcadd Institute Inc.,TVL,False,False,False,False,True,False,False,1,
Quezon City,401493,Miriam College Adult Education,TVL,False,False,False,False,True,False,False,1,
Quezon City,401495,National Polytechnic College of Science and Technology-Lagro,TVL,False,False,False,False,True,False,False,1,
Quezon City,401500,National Polytechnic College of Science and Technology-Novaliches,GAS|ABM|HUMSS,False,True,True,True,False,False,False,3,
Quezon City,401505,New England College,GAS|HUMSS|ABM|TVL,False,True,True,True,True,False,False,4,
Quezon City,401511,PNTC Colleges,ABM|GAS,False,True,False,True,False,False,False,2,
Quezon City,401513,Republican College,ABM|GAS,False,True,False,True,False,False,False,2,
Quezon City,401520,Samson College of Science and Technology (Quezon City),GAS|TVL,False,False,False,True,True,False,False,2,
Quezon City,401527,"Southeast Asian College, Inc.",GAS|HUMSS|STEM|TVL,True,False,True,True,True,False,False,4,
Quezon City,401529,"St. Augustine College-Lagro, Quezon City",ABM|TVL,False,True,False,False,True,False,False,2,
Quezon City,401531,St. Augustine College-Quezon City,ABM|STEM|TVL,True,True,False,False,True,False,False,3,
Quezon City,401541,St. Bernadette of Lourdes College,ABM|HUMSS|TVL,False,True,True,False,True,False,False,3,
Quezon City,401544,"St. John Technological College of the Philippines, Inc.",TVL,False,False,False,False,True,False,False,1,
Quezon City,401551,STI College - Cubao,STEM|ABM|HUMSS|GAS|TVL,True,True,True,True,True,False,False,5,
Quezon City,401553,STI College - Fairview,GAS|ABM|STEM|HUMSS|TVL,True,True,True,True,True,False,False,5,
Quezon City,401556,STI College - Muñoz - EDSA,STEM|ABM|HUMSS|GAS|TVL,True,True,True,True,True,False,False,5,
Quezon City,401579,STI College - Novaliches,STEM|ABM|HUMSS|GAS|TVL,True,True,True,True,True,False,False,5,
Quezon City,401596,STI College - Quezon Ave.,GAS|ABM|HUMSS|TVL,False,True,True,True,True,False,False,4,
Quezon City,401619,Systems Plus Computer College-Cubao,GAS|ABM|TVL,False,True,False,True,True,False,False,3,
Quezon City,401624,Technological Institute of the Philippines-Quezon City,ABM|STEM|HUMSS|GAS,True,True,True,True,False,False,False,4,
Quezon City,401721,Asia School of Arts and Sciences Inc.,GAS|ABM|HUMSS,False,True,True,True,False,False,False,3,
Quezon City,405707,Access Computer and Technical College-Cubao 2 Campus,TVL,False,False,False,False,True,False,False,1,
Quezon City,405709,APEC Schools - V. Luna,GAS|ABM,False,True,False,True,False,False,False,2,
Quezon City,405712,"Asian Caregiving and Technology Education Centers-Cubao (ACTEC-CUBAO), Inc.",TVL,False,False,False,False,True,False,False,1,
Quezon City,405713,Far East Academy of Training and Development,ABM,False,True,False,False,False,False,False,1,
Quezon City,405714,"People of Grace Christian Schools Foundation, Inc",GAS,False,False,False,True,False,False,False,1,
Quezon City,405965,"Global Minds Academy of the Philippines, Inc.",ABM|HUMSS|GAS|TVL,False,True,True,True,True,False,False,4,
Quezon City,405979,"Philippine School for Maritime and Medical Access, Inc",TVL,False,False,False,False,True,False,False,1,
Quezon City,406018,Abraham Dumlao Colleges of the Phils.,TVL,False,False,False,False,True,False,False,1,
Quezon City,406081,Quezon City Polytechnic University-Main,ABM|STEM|Arts and Design|TVL,True,True,False,False,True,True,False,4,
Quezon City,406385,Angelicum College,STEM|GAS|HUMSS|ABM|TVL,True,True,True,True,True,False,False,5,
Quezon City,406387,Lourdes School Quezon City,STEM|GAS,True,False,False,True,False,False,False,2,
Quezon City,406390,Philippine Buddhacare Academy,ABM,False,True,False,False,False,False,False,1,
Quezon City,406391,Quezon City Christian Academy,ABM|STEM,True,True,False,False,False,False,False,2,
Quezon City,406392,Sacred Heart Academy of La Loma,HUMSS|GAS|ABM,False,True,True,True,False,False,False,3,
Quezon City,406393,"St. Theresa's College, Quezon City",ABM|STEM|HUMSS|GAS,True,True,True,True,False,False,False,4,
Quezon City,406396,Philadelphia High School,STEM|ABM,True,True,False,False,False,False,False,2,
Quezon City,406397,Siena College of Quezon City,HUMSS|STEM|ABM|TVL,True,True,True,False,True,False,False,4,
Quezon City,406401,"Hope Christian Academy Foundation, Inc.",ABM|STEM|HUMSS|GAS,True,True,True,True,False,False,False,4,
Quezon City,406402,Infant Jesus Learning Academy of Quezon City,GAS |ABM,False,True,False,True,False,False,False,2,
Quezon City,406407,Philippine Women's University- Quezon City,STEM|ABM|HUMSS|GAS|Arts and Design|Sports|TVL,True,True,True,True,True,True,True,7,
Quezon City,406408,St. Claire School Basic Education,ABM|GAS,False,True,False,True,False,False,False,2,
Quezon City,406409,St. Vincent School of Quezon City,GAS|ABM|Sports,False,True,False,True,False,False,True,3,
Quezon City,406411,"Glendale School, Inc.",GAS,False,False,False,True,False,False,False,1,
Quezon City,406413,Quezon City Academy,STEM |HUMSS,True,False,True,False,False,False,False,2,
Quezon City,406415,St. Patrick School,ABM|GAS|HUMSS|TVL,False,True,True,True,True,False,False,4,
Quezon City,406416,Sto. Niño Parochial School,STEM|ABM|TVL,True,True,False,False,True,False,False,3,
Quezon City,406417,Colegio de San Lorenzo,ABM|HUMSS,False,True,True,False,False,False,False,2,
Quezon City,406418,AMA Computer Learning Center - Commonwealth,ABM|TVL,False,True,False,False,True,False,False,2,
Quezon City,406419,AMA Computer Learning Center - Cubao,ABM|TVL,False,True,False,False,True,False,False,2,
Quezon City,406420,"Ste. Anne de Beaupre School, Inc.",ABM|HUMSS|STEM|GAS|TVL,True,True,True,True,True,False,False,5,
Quezon City,406423,AMA Computer Learning Center - Greater Lagro,ABM|TVL,False,True,False,False,True,False,False,2,
Quezon City,406426,Dr. Carlos S. Lanting College,ABM|HUMSS|GAS|STEM|TVL,True,True,True,True,True,False,False,5,
Quezon City,406431,"Marymount School of Quezon City, Inc.",GAS,False,False,False,True,False,False,False,1,
Quezon City,406432,New Era University - Quezon City,ABM|STEM|GAS|HUMSS|Arts and Design|Sports|TVL,True,True,True,True,True,True,True,7,
Quezon City,406433,Saint Anthony Academy of Q.C.,ABM,False,True,False,False,False,False,False,1,
Quezon City,406436,St. James College of Quezon City,GAS|STEM|HUMSS|ABM|TVL,True,True,True,True,True,False,False,5,
Quezon City,406439,College of St. Catherine Quezon City,STEM|ABM|HUMSS|GAS|TVL,True,True,True,True,True,False,False,5,
Quezon City,406440,Villagers Montessori College,ABM|HUMSS|STEM|GAS|TVL,True,True,True,True,True,False,False,5,
Quezon City,406441,Francisco School,ABM|STEM|HUMSS|GAS|TVL,True,True,True,True,True,False,False,5,
Quezon City,406442,Grace Christian College,ABM|STEM|HUMSS,True,True,True,False,False,False,False,3,
Quezon City,406446,Colegio de San Bartolome de Novaliches,HUMSS,False,False,True,False,False,False,False,1,
Quezon City,406450,King's Montessori School,GAS|ABM,False,True,False,True,False,False,False,2,
Quezon City,406452,Marian School of Quezon City,ABM|STEM|HUMSS|TVL,True,True,True,False,True,False,False,4,
Quezon City,406455,ODB Montessori School of Novaliches,GAS|TVL,False,False,False,True,True,False,False,2,
Quezon City,406457,Springfield School of Novaliches,STEM|ABM|HUMSS|GAS,True,True,True,True,False,False,False,4,
Quezon City,406458,St. John of Beverley School,GAS|ABM|HUMSS|STEM,True,True,True,True,False,False,False,4,
Quezon City,406460,Golden Valley Academy,TVL,False,False,False,False,True,False,False,1,
Quezon City,406464,International Christian School,STEM|ABM|HUMSS|GAS,True,True,True,True,False,False,False,4,
Quezon City,406467,"Maranatha Christian Academy of Novaliches, Inc.",GAS|TVL,False,False,False,True,True,False,False,2,
Quezon City,406474,Divine Grace School,HUMSS|GAS,False,False,True,True,False,False,False,2,
Quezon City,406476,Ina ng Buhay Catholic School,GAS,False,False,False,True,False,False,False,1,
Quezon City,406480,Mater Carmeli School,STEM,True,False,False,False,False,False,False,1,
Quezon City,406482,Metro Manila College,ABM|STEM|HUMSS|GAS|Sports|TVL,True,True,True,True,True,False,True,6,
Quezon City,406484,Our Lady of Fatima University-Quezon City,GAS|ABM|STEM|HUMSS,True,True,True,True,False,False,False,4,
Quezon City,406485,Our Lady of Lourdes College of Novaliches,ABM|HUMSS|GAS|TVL,False,True,True,True,True,False,False,4,
Quezon City,406486,Sacred Heart Academy,GAS |ABM |HUMSS |STEM|TVL,True,True,True,True,True,False,False,5,
Quezon City,406487,School of Saint Anthony,ABM|STEM|HUMSS|TVL,True,True,True,False,True,False,False,4,
Quezon City,406488,St. Francis Xavier Catholic School,GAS|HUMSS,False,False,True,True,False,False,False,2,
Quezon City,406489,St. Jerome School of Novaliches,GAS,False,False,False,True,False,False,False,1,
Quezon City,406492,St. Theresa's School of Novaliches,GAS|STEM|HUMSS|ABM,True,True,True,True,False,False,False,4,
Quezon City,406493,"St. Vincent de Paul Academy of Novaliches, Inc.",STEM|ABM,True,True,False,False,False,False,False,2,
Quezon City,406500,"Bethel Christian School of Fairview, Inc.",HUMSS|STEM,True,False,True,False,False,False,False,2,
Quezon City,406503,Capitol Hills Christian School,GAS,False,False,False,True,False,False,False,1,
Quezon City,406507,Christian Family Center School Foundation,ABM|HUMSS|TVL,False,True,True,False,True,False,False,3,
Quezon City,406513,Far Eastern University Diliman,HUMSS|GAS|STEM|ABM|Sports,True,True,True,True,False,False,True,5,
Quezon City,406516,"Garden of Life School, Inc.",ABM|GAS,False,True,False,True,False,False,False,2,
Quezon City,406517,"Gideon School of Quezon City, Inc.",GAS|TVL,False,False,False,True,True,False,False,2,
Quezon City,406521,Good Shepherd Cathedral School,ABM|STEM|HUMSS,True,True,True,False,False,False,False,3,
Quezon City,406533,Access Computer and Technical College-Lagro Campus,TVL,False,False,False,False,True,False,False,1,
Quezon City,406537,Access Computer and Technical Colleges-Zabarte Campus,TVL,False,False,False,False,True,False,False,1,
Quezon City,406539,Mother of Perpetual Help School,ABM|HUMSS|TVL,False,True,True,False,True,False,False,3,
Quezon City,406541,National College of Business and Arts - Fairview,ABM|GAS,False,True,False,True,False,False,False,2,
Quezon City,406544,Our Lady of Mercy School of Quezon City,GAS,False,False,False,True,False,False,False,1,
Quezon City,406548,Peacemaker International Christian Academy,ABM|GAS,False,True,False,True,False,False,False,2,
Quezon City,406555,School of the Holy Spirit -Quezon City,ABM|GAS|STEM|HUMSS|Arts and Design,True,True,True,True,False,True,False,5,
Quezon City,406557,Sisters of Mount Carmel Catholic School,HUMSS|ABM,False,True,True,False,False,False,False,2,
Quezon City,406559,"St. Anthony De Padua Learning School (Batasan), Inc.",GAS|TVL,False,False,False,True,True,False,False,2,
Quezon City,406570,TD&S Hope Christian Academy,HUMSS|STEM|ABM|Arts and Design|Sports,True,True,True,False,False,True,True,5,
Quezon City,406572,The Seed Montessori School,STEM|HUMSS|ABM|TVL,True,True,True,False,True,False,False,4,
Quezon City,406575,Ateneo de Manila University,ABM|STEM|HUMSS|GAS,True,True,True,True,False,False,False,4,
Quezon City,406577,Benedictine International School,ABM|GAS,False,True,False,True,False,False,False,2,
Quezon City,406581,Diliman Preparatory School,STEM|HUMSS|GAS,True,False,True,True,False,False,False,3,
Quezon City,406582,Kostka School of Quezon City,GAS|ABM|HUMSS,False,True,True,True,False,False,False,3,
Quezon City,406583,Miriam College,ABM|STEM|HUMSS|GAS,True,True,True,True,False,False,False,4,
Quezon City,406585,Reedley International School,STEM|HUMSS|GAS|ABM,True,True,True,True,False,False,False,4,
Quezon City,406586,St. Bridget School,STEM|HUMSS|ABM,True,True,True,False,False,False,False,3,
Quezon City,406589,St. Joseph Catholic School,GAS|ABM,False,True,False,True,False,False,False,2,
Quezon City,406590,Stella Maris College,HUMSS,False,False,True,False,False,False,False,1,
Quezon City,406592,"The Living Epistle Christian Academy, Inc.",ABM,False,True,False,False,False,False,False,1,
Quezon City,406599,JCSGO Christian Academy,ABM|HUMSS|GAS|TVL,False,True,True,True,True,False,False,4,
Quezon City,406601,Roosevelt College Cubao,ABM|STEM|HUMSS|GAS,True,True,True,True,False,False,False,4,
Quezon City,406603,Claret School of Quezon City,ABM|STEM|HUMSS|GAS,True,True,True,True,False,False,False,4,
Quezon City,406605,"Gospel Light Christian Academy of Q.C, Inc.",GAS,False,False,False,True,False,False,False,1,
Quezon City,406606,"Holy Family School of Quezon City, Inc.",ABM|HUMSS|STEM,True,True,True,False,False,False,False,3,
Quezon City,406616,Holy Spirit School,ABM|STEM|HUMSS|GAS|Arts and Design,True,True,True,True,False,True,False,5,
Quezon City,406617,Immaculate Conception Cathedral School,STEM|ABM|TVL,True,True,False,False,True,False,False,3,
Quezon City,406618,Jubilee Christian Academy,HUMSS|GAS|ABM|STEM,True,True,True,True,False,False,False,4,
Quezon City,406620,Saint Pedro Poveda College,GAS|ABM|STEM|HUMSS,True,True,True,True,False,False,False,4,
Quezon City,406622,St. Paul University-Quezon City,HUMSS|STEM|ABM|Arts and Design|Sports|TVL,True,True,True,False,True,True,True,6,
Quezon City,406626,Holy Family Parochial School,GAS|ABM,False,True,False,True,False,False,False,2,
Quezon City,406629,"PAREF Northfield School for the Boys, Inc.",GAS|HUMSS|ABM,False,True,True,True,False,False,False,3,
Quezon City,406632,St. Mary's College,STEM|ABM|HUMSS|GAS|Arts and Design|TVL,True,True,True,True,True,True,False,6,
Quezon City,406634,Central Colleges of the Philippines,ABM|HUMSS|GAS|STEM|TVL,True,True,True,True,True,False,False,5,
Quezon City,406636,Immaculate Heart of Mary College,GAS|TVL,False,False,False,True,True,False,False,2,
Quezon City,406639,Our Lady of the Sacred Heart School,HUMSS|GAS|ABM|STEM,True,True,True,True,False,False,False,4,
Quezon City,406640,Philippine Institute of Quezon City,GAS|ABM|STEM,True,True,False,True,False,False,False,3,
Quezon City,406644,Saint Joseph's College of Quezon City,HUMSS|ABM|Arts and Design|TVL,False,True,True,False,True,True,False,4,
Quezon City,406645,Trinity University of Asia,GAS|ABM|STEM|HUMSS|TVL,True,True,True,True,True,False,False,5,
Quezon City,407060,Datamex Institute of Computer Technology-Lagro,TVL,False,False,False,False,True,False,False,1,
Quezon City,407061,Gateways Institute of Science and Technology (GIST) - Quezon City,TVL,False,False,False,False,True,False,False,1,
Quezon City,407073,St. Dominic Institute,TVL,False,False,False,False,True,False,False,1,
Quezon City,407206,Asian Institute of Science and Technology - Fairview,TVL,False,False,False,False,True,False,False,1,
Quezon City,407289,"EJIST-VALENZUELA, Inc.",TVL,False,False,False,False,True,False,False,1,
Quezon City,407290,"Philippine Rehabilitation Institute Foundation, Inc.",STEM|TVL,True,False,False,False,True,False,False,2,
Quezon City,407343,"Asia Pacific School of Arts and Sciences, Inc.",TVL,False,False,False,False,True,False,False,1,
Quezon City,407347,"Wordlab School, Inc.",GAS,False,False,False,True,False,False,False,1,
Quezon City,407375,"AFFORDABLE PRIVATE EDUCATION CENTER, INC. APEC SCHOOLS - NEW MANILA",ABM,False,True,False,False,False,False,False,1,
Quezon City,407458,Montessori Professional College- Lagro,GAS|TVL,False,False,False,True,True,False,False,2,
Quezon City,407459,Montessori Professional College- Muñoz,GAS|TVL,False,False,False,True,True,False,False,2,
Quezon City,407468,Holy Child Academy,ABM|HUMSS|GAS,False,True,True,True,False,False,False,3,
Quezon City,407471,National College of Business and Arts - Cubao,ABM|GAS,False,True,False,True,False,False,False,2,
Quezon City,407473,Virgen De Guadalupe College of Science and Technology,TVL,False,False,False,False,True,False,False,1,
Quezon City,407474,World Citi Colleges,ABM|STEM|HUMSS|GAS|TVL,True,True,True,True,True,False,False,5,
Quezon City,407646,Scuola San Pio Di Pietrelcina,GAS,False,False,False,True,False,False,False,1,
Quezon City,407647,South East-Asia Institute of Trade and Technology,STEM|ABM|HUMSS|GAS|TVL,True,True,True,True,True,False,False,5,
Quezon City,482504,"St. Mary's School of Novaliches, Inc.",HUMSS|ABM|GAS|TVL,False,True,True,True,True,False,False,4,
Quezon City,482508,"Acelina School Inc., Montessori",ABM|HUMSS|STEM|GAS,True,True,True,True,False,False,False,4,
Quezon City,482518,"Marriott School, Inc",ABM|HUMSS|GAS,False,True,True,True,False,False,False,3,
Quezon City,482522,"Falcon School, Inc.",ABM|HUMSS|GAS|TVL,False,True,True,True,True,False,False,4,
Quezon City,482552,Lux Domine Academy,HUMSS|ABM|GAS|TVL,False,True,True,True,True,False,False,4,
Quezon City,482567,"J.P. Sioson General Hospital and Colleges, Inc.",ABM|HUMSS,False,True,True,False,False,False,False,2,
Quezon City,482574,Multiple Intelligence International School,GAS|STEM|ABM|HUMSS,True,True,True,True,False,False,False,4,
Quezon City,482582,Pace Academy,ABM|STEM,True,True,False,False,False,False,False,2,
Quezon City,482589,"Meridian International Learning Experience, Inc.",HUMSS|STEM|ABM,True,True,True,False,False,False,False,3,
Quezon City,482598,Maria Montessori School of Quezon City,ABM,False,True,False,False,False,False,False,1,
Quezon City,482607,Bloomridge Integrated School,STEM|ABM|Arts and Design|Sports,True,True,False,False,False,True,True,4,
Quezon City,482614,Jean-Baptiste of Reims College,GAS|ABM|HUMSS|STEM,True,True,True,True,False,False,False,4,
Quezon City,482617,"St. Joseph School of Fairview, Inc.",ABM|HUMSS|GAS,False,True,True,True,False,False,False,3,
Quezon City,482631,Cornerstone Christian Academy of Quezon City,HUMSS|GAS|ABM,False,True,True,True,False,False,False,3,
Quezon City,482633,Del Carmen School of Veterans Quezon City,GAS|TVL,False,False,False,True,True,False,False,2,
Quezon City,482636,St. Francis Academy of Q.C,GAS|ABM|TVL,False,True,False,True,True,False,False,3,
Quezon City,482676,"Starland International School, Inc.",GAS|TVL,False,False,False,True,True,False,False,2,
Quezon City,482693,"Romarinda International School, Inc.",GAS|ABM|TVL,False,True,False,True,True,False,False,3,
Quezon City,482699,Remnant International Christian School,GAS,False,False,False,True,False,False,False,1,
Quezon City,482732,San Jose Tagapagtanggol Parochial School,HUMSS|GAS,False,False,True,True,False,False,False,2,
Quezon City,482735,"Our Lady of Lourdes Technological College, Inc.",TVL,False,False,False,False,True,False,False,1,
Quezon City,482745,"Imelda Operio's Learning School, Inc.",STEM|HUMSS|ABM|TVL,True,True,True,False,True,False,False,4,
Quezon City,482749,Fiore Del Carmelo School,TVL,False,False,False,False,True,False,False,1,
Quezon City,482765,Mary Liane's School,ABM|HUMSS|GAS,False,True,True,True,False,False,False,3,
Quezon City,482783,"Bethel Christian School of Holy Spirit, Inc.",HUMSS|STEM,True,False,True,False,False,False,False,2,
Quezon City,482795,Our Lady of Victories Catholic School,GAS,False,False,False,True,False,False,False,1,
Quezon City,482798,Holy Spirit Preparatory Academy,GAS,False,False,False,True,False,False,False,1,
Quezon City,482814,"Mary & Child Academy of Sauyo, Inc.",GAS,False,False,False,True,False,False,False,1,
Quezon City,482815,"Temple Hill International School, Inc.",STEM|ABM|GAS,True,True,False,True,False,False,False,3,
Quezon City,482938,Bannister Academy,GAS,False,False,False,True,False,False,False,1,
Quezon City,482956,Eclaro Academy,STEM|GAS|TVL,True,False,False,True,True,False,False,3,
Quezon City,482971,"Datamex College of Saint Adeline, Inc.-Fairview",ABM|STEM|GAS|HUMSS|Arts and Design|Sports|TVL,True,True,True,True,True,True,True,7,
Quezon City,482974,Mary the Queen College of Quezon City,ABM|HUMSS|STEM|GAS|TVL,True,True,True,True,True,False,False,5,
Quezon City,(Blank),"Jbest School of Technology and Practical Skills, Inc.",TVL,False,False,False,False,True,False,False,1,
Quezon City,(Blank),"Jbest School of Technology and Practical Skills, Inc.",TVL,False,False,False,False,True,False,False,1,
Manila City,401273,Samson College of Science and Technology (Manila),STEM|ABM|HUMSS|GAS|TVL,True,True,True,True,True,False,False,5,
Manila City,401323,Technological Institute of the Philippines-Manila,HUMSS|GAS|STEM|ABM,True,True,True,True,False,False,False,4,
Manila City,405674,Access Computer and Technical College-Manila Campus,TVL,False,False,False,False,True,False,False,1,
Manila City,406311,San Sebastian College - Recoletos,STEM|ABM|HUMSS|GAS|TVL,True,True,True,True,True,False,False,5,
Manila City,406323,Manuel L. Quezon University,ABM|STEM|HUMSS|TVL,True,True,True,False,True,False,False,4,
Manila City,406324,The National Teachers College,HUMSS|ABM|STEM|GAS|TVL,True,True,True,True,True,False,False,5,
Manila City,406327,The Nazarene Catholic School,ABM|STEM|HUMSS|GAS|TVL,True,True,True,True,True,False,False,5,
Manila City,406329,Saint Rita College-Manila,GAS,False,False,False,True,False,False,False,1,
Manila City,482069,Guzman College of Science and Technology,TVL,False,False,False,False,True,False,False,1,
Manila City,401141,ABE International College of Business and Economics-Manila,ABM|TVL,False,True,False,False,True,False,False,2,
Manila City,401143,"AMA Computer College-Sta. Mesa, Manila",ABM|GAS|HUMSS|TVL,False,True,True,True,True,False,False,4,
Manila City,401168,Far Eastern University High School,STEM|ABM|HUMSS|GAS|Arts and Design,True,True,True,True,False,True,False,5,
Manila City,401187,Informatics College-Manila,ABM|GAS|HUMSS,False,True,True,True,False,False,False,3,
Manila City,401195,Mary Chiles College,STEM|TVL,True,False,False,False,True,False,False,2,
Manila City,401259,Philippine School of Business Administration,ABM|HUMSS|GAS,False,True,True,True,False,False,False,3,
Manila City,401321,Makati Science Technological Institute of the Philippines,STEM|ABM|HUMSS|GAS,True,True,True,True,False,False,False,4,
Manila City,405679,"AMA Computer Learning Center of Morayta, Inc.",TVL,False,False,False,False,True,False,False,1,
Manila City,406306,Arellano University-Juan Sumulong Campus,GAS|ABM|HUMSS|STEM|Sports|Arts and Design|TVL,True,True,True,True,True,True,True,7,
Manila City,406312,Sta. Catalina College,GAS|HUMSS|ABM|TVL,False,True,True,True,True,False,False,4,
Manila City,406321,Central Institute of Technology,ABM|HUMSS|GAS,False,True,True,True,False,False,False,3,
Manila City,406337,"Maranatha Christian Academy of Manila, Inc.",GAS|TVL,False,False,False,True,True,False,False,2,
Manila City,406338,Holy Trinity Academy,STEM |HUMSS |ABM |GAS|TVL,True,True,True,True,True,False,False,5,
Manila City,406339,The University of Manila,ABM|STEM|HUMSS|GAS|TVL,True,True,True,True,True,False,False,5,
Manila City,406341,Nazareth School of National University,ABM|HUMSS|GAS|STEM,True,True,True,True,False,False,False,4,
Manila City,406342,"Dominican School, Sampaloc",STEM|ABM|HUMSS|Arts and Design|Sports,True,True,True,False,False,True,True,5,
Manila City,406343,Perpetual Help College of Manila,ABM|GAS|HUMSS|STEM|Arts and Design|Sports|TVL,True,True,True,True,True,True,True,7,
Manila City,406344,St. Jude College Manila,ABM|HUMSS|STEM|GAS|TVL,True,True,True,True,True,False,False,5,
Manila City,406350,Sacred Heart of Jesus Catholic School,STEM|HUMSS|ABM|GAS,True,True,True,True,False,False,False,4,
Manila City,406679,"Knowledge Distributor Educational System Institute, Inc.",TVL,False,False,False,False,True,False,False,1,
Manila City,482072,University of Santo Tomas,STEM|ABM|HUMSS|GAS|Sports|Arts and Design,True,True,True,True,False,True,True,6,
Manila City,482110,APEC Schools-España,GAS|ABM,False,True,False,True,False,False,False,2,
Manila City,482111,APEC Schools-G. Tuazon,GAS|ABM,False,True,False,True,False,False,False,2,
Manila City,600112,Polytechnic University of the Philippines,ABM|STEM|HUMSS|GAS|Arts and Design|Sports|TVL,True,True,True,True,True,True,True,7,
Manila City,(Blank),"Golden Success College, Inc.",GAS|ABM|TVL,False,True,False,True,True,False,False,3,
San Juan City,401649,Punlaan School,TVL,False,False,False,False,True,False,False,1,
San Juan City,405715,Hands-On International Services Inc.,ABM|TVL,False,True,False,False,True,False,False,2,
San Juan City,406615,Community of Learners School for Children,STEM|ABM|HUMSS|Arts and Design,True,True,True,False,False,True,False,4,
San Juan City,406877,Doro Deus Integrated School,GAS|ABM|TVL,False,True,False,True,True,False,False,3,
San Juan City,406950,"Immaculate Conception Academy, Greenhills",ABM|STEM|HUMSS|GAS,True,True,True,True,False,False,False,4,
San Juan City,406954,Xavier School,GAS|ABM|STEM|HUMSS,True,True,True,True,False,False,False,4,
San Juan City,406956,Aquinas School,STEM|ABM|HUMSS|GAS|Sports|Arts and Design,True,True,True,True,False,True,True,6,
San Juan City,406958,"Dominican College, San Juan",ABM|STEM|HUMSS|GAS,True,True,True,True,False,False,False,4,
San Juan City,406961,St. John the Baptist Catholic School,GAS|ABM|TVL,False,True,False,True,True,False,False,3,
San Juan City,406963,"Montessori De San Juan, Inc",ABM|HUMSS|GAS,False,True,True,True,False,False,False,3,
San Juan City,406965,Philippine Chen Kuang High School,STEM|ABM|HUMSS,True,True,True,False,False,False,False,3,
San Juan City,406970,St. John's Academy,HUMSS|GAS,False,False,True,True,False,False,False,2,
San Juan City,406971,Tabernacle of Faith Christian Academy,STEM,True,False,False,False,False,False,False,1,
San Juan City,482709,OB Montessori Center-San Juan City,GAS,False,False,False,True,False,False,False,1,
San Juan City,485541,Fountain International School,STEM|ABM|HUMSS,True,True,True,False,False,False,False,3,
Manila City,406380,St. Mary's Academy-Sta. Ana,STEM|ABM|GAS,True,True,False,True,False,False,False,3,
Manila City,482037,OB Montessori Center-Manila,GAS,False,False,False,True,False,False,False,1,
Manila City,482085,Jaime Cardinal Sin Learning Center,STEM|ABM|GAS|HUMSS|TVL,True,True,True,True,True,False,False,5,
Manila City,401182,Feati University,STEM|ABM|HUMSS,True,True,True,False,False,False,False,3,
Manila City,401215,"Metropolitan Medical Center College of Arts, Science and Technology",GAS|STEM|ABM|TVL,True,True,False,True,True,False,False,4,
Manila City,401290,San Beda College,STEM |HUMSS |ABM |GAS,True,True,True,True,False,False,False,4,
